RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.6 5.31 14.5 0.860599 1.1609 0.101588
47.6 5.31 16.5 1.27546 1.6112 0.101588
47.6 5.31 18.5 1.77025 2.1265 0.101588
47.6 5.31 20.5 2.34498 2.7051 0.101588
47.6 5.31 22.5 2.99966 3.3441 0.101588
47.6 5.31 24.5 3.7343 4.0411 0.101588
47.6 5.31 26.5 4.5489 4.7937 0.101588
47.6 5.31 28.5 5.44349 5.5992 0.101588
47.6 5.31 30.5 6.41806 6.457 0.101588
47.6 5.31 32.5 7.47262 7.3667 0.101588
47.6 5.31 34.5 8.60717 8.3293 0.101588
47.6 5.31 36.5 9.82173 9.3458 0.101588
47.6 5.31 38.5 11.1163 10.4169 0.101588
47.6 5.31 40.5 12.4909 11.5431 0.101588
47.6 5.31 42.5 13.9454 12.7224 0.101588
47.6 5.31 44.5 15.48 13.9491 0.101588
47.6 5.31 46.5 17.0946 15.2181 0.101588
47.6 5.31 48.5 18.7893 16.5221 0.101588
*******TSD2********
47.6 5.31 13.5 0.70247 1.3394 0.101588
47.6 5.31 15.5 1.04484 1.7467 0.101588
47.6 5.31 17.5 1.46706 2.2184 0.101588
47.6 5.31 19.5 1.96917 2.7527 0.101588
47.6 5.31 21.5 2.5512 3.3484 0.101588
47.6 5.31 23.5 3.21318 4.003 0.101588
47.6 5.31 25.5 3.95512 4.7143 0.101588
47.6 5.31 27.5 4.77704 5.4805 0.101588
47.6 5.31 29.5 5.67897 6.3004 0.101588
47.6 5.31 31.5 6.6609 7.1733 0.101588
47.6 5.31 33.5 7.72285 8.0998 0.101588
47.6 5.31 35.5 8.86483 9.08 0.101588
47.6 5.31 37.5 10.0868 10.1147 0.101588
47.6 5.31 39.5 11.3889 11.2036 0.101588
47.6 5.31 41.5 12.771 12.3466 0.101588
47.6 5.31 43.5 14.2332 13.5441 0.101588
47.6 5.31 45.5 15.7754 14.7911 0.101588
*******TSD3********
47.6 5.31 16.5 1.22908 2.1237 0.101588
47.6 5.31 18.5 1.65865 2.6293 0.101588
47.6 5.31 20.5 2.16809 3.1973 0.101588
47.6 5.31 22.5 2.75742 3.8243 0.101588
47.6 5.31 24.5 3.4267 4.5094 0.101588
47.6 5.31 26.5 4.17594 5.2506 0.101588
47.6 5.31 28.5 5.00519 6.0465 0.101588
47.6 5.31 30.5 5.91445 6.8963 0.101588
47.6 5.31 32.5 6.90374 7.7988 0.101588
47.6 5.31 34.5 7.97309 8.7546 0.101588
47.6 5.31 36.5 9.12249 9.7638 0.101588
47.6 5.31 38.5 10.352 10.8268 0.101588
47.6 5.31 40.5 11.6615 11.9392 0.101588
47.6 5.31 42.5 13.0512 13.0861 0.101588
*******TSD4********
47.6 5.31 23.5 4.12876 4.58 0.101588
47.6 5.31 25.5 4.88899 5.2251 0.101588
47.6 5.31 27.5 5.72912 5.9273 0.101588
47.6 5.31 29.5 6.64919 6.6819 0.101588
47.6 5.31 31.5 7.64923 7.4919 0.101588
47.6 5.31 33.5 8.72926 8.3573 0.101588
47.6 5.31 35.5 9.8893 9.2778 0.101588
47.6 5.31 37.5 11.1294 10.2535 0.101588
47.6 5.31 39.5 12.4495 11.2851 0.101588
47.6 5.31 41.5 13.8496 12.3701 0.101588
******************************
              e=              -0.334
*******TSD1********
