RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.5 9.91 18.5 1.69138 2.6293 0.0971213
47.5 9.91 20.5 2.20514 3.1973 0.0971213
47.5 9.91 22.5 2.79888 3.8243 0.0971213
47.5 9.91 24.5 3.47264 4.5094 0.0971213
47.5 9.91 26.5 4.22644 5.2506 0.0971213
47.5 9.91 28.5 5.06031 6.0465 0.0971213
47.5 9.91 30.5 5.97428 6.8963 0.0971213
47.5 9.91 32.5 6.96835 7.7988 0.0971213
47.5 9.91 34.5 8.04256 8.7546 0.0971213
47.5 9.91 36.5 9.19692 9.7638 0.0971213
47.5 9.91 38.5 10.4314 10.8268 0.0971213
47.5 9.91 40.5 11.7461 11.9392 0.0971213
47.5 9.91 42.5 13.141 13.0861 0.0971213
*******TSD4********
47.5 9.91 23.5 3.98142 4.58 0.0971213
47.5 9.91 25.5 4.74606 5.2251 0.0971213
47.5 9.91 27.5 5.59071 5.9273 0.0971213
47.5 9.91 29.5 6.5154 6.6819 0.0971213
47.5 9.91 31.5 7.52017 7.4919 0.0971213
47.5 9.91 33.5 8.60504 8.3573 0.0971213
47.5 9.91 35.5 9.77001 9.2778 0.0971213
47.5 9.91 37.5 11.0151 10.2535 0.0971213
47.5 9.91 39.5 12.3404 11.2851 0.0971213
47.5 9.91 41.5 13.7458 12.3701 0.0971213
******************************
              e=              -1.336
*******TSD1********
47.4 9.91 8.5 0.0960439 0.1966 0.0970982
47.4 9.91 10.5 0.27231 0.4597 0.0970982
47.4 9.91 12.5 0.52882 0.7746 0.0970982
47.4 9.91 14.5 0.865592 1.1609 0.0970982
47.4 9.91 16.5 1.28264 1.6112 0.0970982
47.4 9.91 18.5 1.77998 2.1265 0.0970982
47.4 9.91 20.5 2.35762 2.7051 0.0970982
47.4 9.91 22.5 3.01557 3.3441 0.0970982
47.4 9.91 24.5 3.75383 4.0411 0.0970982
47.4 9.91 26.5 4.57242 4.7937 0.0970982
47.4 9.91 28.5 5.47134 5.5992 0.0970982
47.4 9.91 30.5 6.45059 6.457 0.0970982
47.4 9.91 32.5 7.51018 7.3667 0.0970982
47.4 9.91 34.5 8.65011 8.3293 0.0970982
47.4 9.91 36.5 9.87038 9.3458 0.0970982
47.4 9.91 38.5 11.171 10.4169 0.0970982
47.4 9.91 40.5 12.552 11.5431 0.0970982
47.4 9.91 42.5 14.0133 12.7224 0.0970982
47.4 9.91 44.5 15.555 13.9491 0.0970982
47.4 9.91 46.5 17.1771 15.2181 0.0970982
47.4 9.91 48.5 18.8795 16.5221 0.0970982
*******TSD2********
47.4 9.91 13.5 0.717135 1.3394 0.0970982
47.4 9.91 15.5 1.06286 1.7467 0.0970982
47.4 9.91 17.5 1.48876 2.2184 0.0970982
47.4 9.91 19.5 1.99485 2.7527 0.0970982
47.4 9.91 21.5 2.58116 3.3484 0.0970982
47.4 9.91 23.5 3.24771 4.003 0.0970982
47.4 9.91 25.5 3.99454 4.7143 0.0970982
47.4 9.91 27.5 4.82164 5.4805 0.0970982
47.4 9.91 29.5 5.72904 6.3004 0.0970982
47.4 9.91 31.5 6.71675 7.1733 0.0970982
47.4 9.91 33.5 7.78478 8.0998 0.0970982
47.4 9.91 35.5 8.93314 9.08 0.0970982
47.4 9.91 37.5 10.1618 10.1147 0.0970982
47.4 9.91 39.5 11.4709 11.2036 0.0970982
47.4 9.91 41.5 12.8602 12.3466 0.0970982
47.4 9.91 43.5 14.33 13.5441 0.0970982
47.4 9.91 45.5 15.8801 14.7911 0.0970982
*******TSD3********
47.4 9.91 16.5 1.26014 2.1237 0.0970982
47.4 9.91 18.5 1.69487 2.6293 0.0970982
47.4 9.91 20.5 2.20971 3.1973 0.0970982
47.4 9.91 22.5 2.80469 3.8243 0.0970982
47.4 9.91 24.5 3.47986 4.5094 0.0970982
47.4 9.91 26.5 4.23524 5.2506 0.0970982
47.4 9.91 28.5 5.07086 6.0465 0.0970982
47.4 9.91 30.5 5.98675 6.8963 0.0970982
47.4 9.91 32.5 6.98292 7.7988 0.0970982
47.4 9.91 34.5 8.05939 8.7546 0.0970982
47.4 9.91 36.5 9.21617 9.7638 0.0970982
47.4 9.91 38.5 10.4533 10.8268 0.0970982
47.4 9.91 40.5 11.7707 11.9392 0.0970982
47.4 9.91 42.5 13.1685 13.0861 0.0970982
*******TSD4********
47.4 9.91 23.5 3.90517 4.58 0.0970982
47.4 9.91 25.5 4.67141 5.2251 0.0970982
47.4 9.91 27.5 5.51784 5.9273 0.0970982
47.4 9.91 29.5 6.44448 6.6819 0.0970982
47.4 9.91 31.5 7.45136 7.4919 0.0970982
47.4 9.91 33.5 8.5385 8.3573 0.0970982
47.4 9.91 35.5 9.70593 9.2778 0.0970982
47.4 9.91 37.5 10.9537 10.2535 0.0970982
47.4 9.91 39.5 12.2817 11.2851 0.0970982
47.4 9.91 41.5 13.6901 12.3701 0.0970982
******************************
              e=              -1.4195
*******TSD1********
47.3 9.91 8.5 0.0962462 0.1966 0.0973341
47.3 9.91 10.5 0.272884 0.4597 0.0973341
47.3 9.91 12.5 0.529935 0.7746 0.0973341
47.3 9.91 14.5 0.867419 1.1609 0.0973341
47.3 9.91 16.5 1.28535 1.6112 0.0973341
47.3 9.91 18.5 1.78374 2.1265 0.0973341
47.3 9.91 20.5 2.3626 2.7051 0.0973341
47.3 9.91 22.5 3.02193 3.3441 0.0973341
47.3 9.91 24.5 3.76176 4.0411 0.0973341
47.3 9.91 26.5 4.58208 4.7937 0.0973341
47.3 9.91 28.5 5.48289 5.5992 0.0973341
47.3 9.91 30.5 6.46421 6.457 0.0973341
47.3 9.91 32.5 7.52604 7.3667 0.0973341
47.3 9.91 34.5 8.66838 8.3293 0.0973341
47.3 9.91 36.5 9.89123 9.3458 0.0973341
47.3 9.91 38.5 11.1946 10.4169 0.0973341
47.3 9.91 40.5 12.5785 11.5431 0.0973341
47.3 9.91 42.5 14.0429 12.7224 0.0973341
47.3 9.91 44.5 15.5879 13.9491 0.0973341
47.3 9.91 46.5 17.2133 15.2181 0.0973341
47.3 9.91 48.5 18.9194 16.5221 0.0973341
*******TSD2********
47.3 9.91 13.5 0.718621 1.3394 0.0973341
47.3 9.91 15.5 1.06508 1.7467 0.0973341
47.3 9.91 17.5 1.49186 2.2184 0.0973341
47.3 9.91 19.5 1.99902 2.7527 0.0973341
47.3 9.91 21.5 2.58656 3.3484 0.0973341
47.3 9.91 23.5 3.25452 4.003 0.0973341
47.3 9.91 25.5 4.00292 4.7143 0.0973341
47.3 9.91 27.5 4.83177 5.4805 0.0973341
47.3 9.91 29.5 5.74108 6.3004 0.0973341
47.3 9.91 31.5 6.73088 7.1733 0.0973341
47.3 9.91 33.5 7.80116 8.0998 0.0973341
47.3 9.91 35.5 8.95194 9.08 0.0973341
47.3 9.91 37.5 10.1832 10.1147 0.0973341
47.3 9.91 39.5 11.495 11.2036 0.0973341
47.3 9.91 41.5 12.8873 12.3466 0.0973341
47.3 9.91 43.5 14.3602 13.5441 0.0973341
47.3 9.91 45.5 15.9135 14.7911 0.0973341
*******TSD3********
47.3 9.91 16.5 1.26273 2.1237 0.0973341
47.3 9.91 18.5 1.69838 2.6293 0.0973341
47.3 9.91 20.5 2.2143 3.1973 0.0973341
47.3 9.91 22.5 2.81053 3.8243 0.0973341
47.3 9.91 24.5 3.48711 4.5094 0.0973341
47.3 9.91 26.5 4.24408 5.2506 0.0973341
47.3 9.91 28.5 5.08146 6.0465 0.0973341
47.3 9.91 30.5 5.99928 6.8963 0.0973341
47.3 9.91 32.5 6.99754 7.7988 0.0973341
47.3 9.91 34.5 8.07628 8.7546 0.0973341
47.3 9.91 36.5 9.2355 9.7638 0.0973341
47.3 9.91 38.5 10.4752 10.8268 0.0973341
47.3 9.91 40.5 11.7954 11.9392 0.0973341
47.3 9.91 42.5 13.1962 13.0861 0.0973341
*******TSD4********
47.3 9.91 23.5 3.82895 4.58 0.0973341
47.3 9.91 25.5 4.5968 5.2251 0.0973341
47.3 9.91 27.5 5.44501 5.9273 0.0973341
47.3 9.91 29.5 6.3736 6.6819 0.0973341
47.3 9.91 31.5 7.3826 7.4919 0.0973341
47.3 9.91 33.5 8.47204 8.3573 0.0973341
47.3 9.91 35.5 9.64193 9.2778 0.0973341
47.3 9.91 37.5 10.8923 10.2535 0.0973341
47.3 9.91 39.5 12.2231 11.2851 0.0973341
47.3 9.91 41.5 13.6345 12.3701 0.0973341
******************************
              e=              -1.503
*******TSD1********
47.3 9.91 8.5 0.0962462 0.1966 0.0978252
47.3 9.91 10.5 0.272884 0.4597 0.0978252
47.3 9.91 12.5 0.529935 0.7746 0.0978252
47.3 9.91 14.5 0.867419 1.1609 0.0978252
47.3 9.91 16.5 1.28535 1.6112 0.0978252
47.3 9.91 18.5 1.78374 2.1265 0.0978252
47.3 9.91 20.5 2.3626 2.7051 0.0978252
47.3 9.91 22.5 3.02193 3.3441 0.0978252
47.3 9.91 24.5 3.76176 4.0411 0.0978252
47.3 9.91 26.5 4.58208 4.7937 0.0978252
47.3 9.91 28.5 5.48289 5.5992 0.0978252
47.3 9.91 30.5 6.46421 6.457 0.0978252
47.3 9.91 32.5 7.52604 7.3667 0.0978252
47.3 9.91 34.5 8.66838 8.3293 0.0978252
47.3 9.91 36.5 9.89123 9.3458 0.0978252
47.3 9.91 38.5 11.1946 10.4169 0.0978252
47.3 9.91 40.5 12.5785 11.5431 0.0978252
47.3 9.91 42.5 14.0429 12.7224 0.0978252
47.3 9.91 44.5 15.5879 13.9491 0.0978252
47.3 9.91 46.5 17.2133 15.2181 0.0978252
47.3 9.91 48.5 18.9194 16.5221 0.0978252
*******TSD2********
47.3 9.91 13.5 0.718621 1.3394 0.0978252
47.3 9.91 15.5 1.06508 1.7467 0.0978252
47.3 9.91 17.5 1.49186 2.2184 0.0978252
47.3 9.91 19.5 1.99902 2.7527 0.0978252
47.3 9.91 21.5 2.58656 3.3484 0.0978252
47.3 9.91 23.5 3.25452 4.003 0.0978252
47.3 9.91 25.5 4.00292 4.7143 0.0978252
47.3 9.91 27.5 4.83177 5.4805 0.0978252
47.3 9.91 29.5 5.74108 6.3004 0.0978252
47.3 9.91 31.5 6.73088 7.1733 0.0978252
47.3 9.91 33.5 7.80116 8.0998 0.0978252
47.3 9.91 35.5 8.95194 9.08 0.0978252
47.3 9.91 37.5 10.1832 10.1147 0.0978252
47.3 9.91 39.5 11.495 11.2036 0.0978252
47.3 9.91 41.5 12.8873 12.3466 0.0978252
47.3 9.91 43.5 14.3602 13.5441 0.0978252
47.3 9.91 45.5 15.9135 14.7911 0.0978252
*******TSD3********
47.3 9.91 16.5 1.26273 2.1237 0.0978252
47.3 9.91 18.5 1.69838 2.6293 0.0978252
47.3 9.91 20.5 2.2143 3.1973 0.0978252
47.3 9.91 22.5 2.81053 3.8243 0.0978252
47.3 9.91 24.5 3.48711 4.5094 0.0978252
47.3 9.91 26.5 4.24408 5.2506 0.0978252
47.3 9.91 28.5 5.08146 6.0465 0.0978252
47.3 9.91 30.5 5.99928 6.8963 0.0978252
47.3 9.91 32.5 6.99754 7.7988 0.0978252
47.3 9.91 34.5 8.07628 8.7546 0.0978252
47.3 9.91 36.5 9.2355 9.7638 0.0978252
47.3 9.91 38.5 10.4752 10.8268 0.0978252
47.3 9.91 40.5 11.7954 11.9392 0.0978252
47.3 9.91 42.5 13.1962 13.0861 0.0978252
*******TSD4********
47.3 9.91 23.5 3.74545 4.58 0.0978252
47.3 9.91 25.5 4.5133 5.2251 0.0978252
47.3 9.91 27.5 5.36151 5.9273 0.0978252
47.3 9.91 29.5 6.2901 6.6819 0.0978252
47.3 9.91 31.5 7.2991 7.4919 0.0978252
47.3 9.91 33.5 8.38854 8.3573 0.0978252
47.3 9.91 35.5 9.55843 9.2778 0.0978252
47.3 9.91 37.5 10.8088 10.2535 0.0978252
47.3 9.91 39.5 12.1396 11.2851 0.0978252
47.3 9.91 41.5 13.551 12.3701 0.0978252
******************************
              e=              -1.5865
*******TSD1********
47.2 9.91 8.5 0.0964494 0.1966 0.0985719
47.2 9.91 10.5 0.27346 0.4597 0.0985719
47.2 9.91 12.5 0.531055 0.7746 0.0985719
47.2 9.91 14.5 0.869253 1.1609 0.0985719
47.2 9.91 16.5 1.28807 1.6112 0.0985719
47.2 9.91 18.5 1.78751 2.1265 0.0985719
47.2 9.91 20.5 2.36759 2.7051 0.0985719
47.2 9.91 22.5 3.02833 3.3441 0.0985719
47.2 9.91 24.5 3.76972 4.0411 0.0985719
47.2 9.91 26.5 4.59177 4.7937 0.0985719
47.2 9.91 28.5 5.49449 5.5992 0.0985719
47.2 9.91 30.5 6.47789 6.457 0.0985719
47.2 9.91 32.5 7.54196 7.3667 0.0985719
47.2 9.91 34.5 8.68672 8.3293 0.0985719
47.2 9.91 36.5 9.91216 9.3458 0.0985719
47.2 9.91 38.5 11.2183 10.4169 0.0985719
47.2 9.91 40.5 12.6051 11.5431 0.0985719
47.2 9.91 42.5 14.0726 12.7224 0.0985719
47.2 9.91 44.5 15.6209 13.9491 0.0985719
47.2 9.91 46.5 17.2498 15.2181 0.0985719
47.2 9.91 48.5 18.9594 16.5221 0.0985719
*******TSD2********
47.2 9.91 13.5 0.720113 1.3394 0.0985719
47.2 9.91 15.5 1.0673 1.7467 0.0985719
47.2 9.91 17.5 1.49498 2.2184 0.0985719
47.2 9.91 19.5 2.00321 2.7527 0.0985719
47.2 9.91 21.5 2.59199 3.3484 0.0985719
47.2 9.91 23.5 3.26136 4.003 0.0985719
47.2 9.91 25.5 4.01134 4.7143 0.0985719
47.2 9.91 27.5 4.84194 5.4805 0.0985719
47.2 9.91 29.5 5.75318 6.3004 0.0985719
47.2 9.91 31.5 6.74506 7.1733 0.0985719
47.2 9.91 33.5 7.8176 8.0998 0.0985719
47.2 9.91 35.5 8.97081 9.08 0.0985719
47.2 9.91 37.5 10.2047 10.1147 0.0985719
47.2 9.91 39.5 11.5193 11.2036 0.0985719
47.2 9.91 41.5 12.9145 12.3466 0.0985719
47.2 9.91 43.5 14.3905 13.5441 0.0985719
47.2 9.91 45.5 15.9471 14.7911 0.0985719
*******TSD3********
47.2 9.91 16.5 1.26534 2.1237 0.0985719
47.2 9.91 18.5 1.7019 2.6293 0.0985719
47.2 9.91 20.5 2.2189 3.1973 0.0985719
47.2 9.91 22.5 2.81639 3.8243 0.0985719
47.2 9.91 24.5 3.4944 4.5094 0.0985719
47.2 9.91 26.5 4.25296 5.2506 0.0985719
47.2 9.91 28.5 5.09211 6.0465 0.0985719
47.2 9.91 30.5 6.01186 6.8963 0.0985719
47.2 9.91 32.5 7.01223 7.7988 0.0985719
47.2 9.91 34.5 8.09324 8.7546 0.0985719
47.2 9.91 36.5 9.25491 9.7638 0.0985719
47.2 9.91 38.5 10.4972 10.8268 0.0985719
47.2 9.91 40.5 11.8202 11.9392 0.0985719
47.2 9.91 42.5 13.2239 13.0861 0.0985719
*******TSD4********
47.2 9.91 23.5 3.66926 4.58 0.0985719
47.2 9.91 25.5 4.43873 5.2251 0.0985719
47.2 9.91 27.5 5.28873 5.9273 0.0985719
47.2 9.91 29.5 6.21928 6.6819 0.0985719
47.2 9.91 31.5 7.23041 7.4919 0.0985719
47.2 9.91 33.5 8.32215 8.3573 0.0985719
47.2 9.91 35.5 9.49451 9.2778 0.0985719
47.2 9.91 37.5 10.7475 10.2535 0.0985719
47.2 9.91 39.5 12.0812 11.2851 0.0985719
47.2 9.91 41.5 13.4955 12.3701 0.0985719
******************************
              e=              -1.67
*******TSD1********
47.1 9.91 8.5 0.0966534 0.1966 0.0995776
47.1 9.91 10.5 0.274039 0.4597 0.0995776
47.1 9.91 12.5 0.53218 0.7746 0.0995776
47.1 9.91 14.5 0.871094 1.1609 0.0995776
47.1 9.91 16.5 1.2908 1.6112 0.0995776
47.1 9.91 18.5 1.7913 2.1265 0.0995776
47.1 9.91 20.5 2.37261 2.7051 0.0995776
47.1 9.91 22.5 3.03475 3.3441 0.0995776
47.1 9.91 24.5 3.77771 4.0411 0.0995776
47.1 9.91 26.5 4.60151 4.7937 0.0995776
47.1 9.91 28.5 5.50614 5.5992 0.0995776
47.1 9.91 30.5 6.49163 6.457 0.0995776
47.1 9.91 32.5 7.55796 7.3667 0.0995776
47.1 9.91 34.5 8.70514 8.3293 0.0995776
47.1 9.91 36.5 9.93319 9.3458 0.0995776
47.1 9.91 38.5 11.2421 10.4169 0.0995776
47.1 9.91 40.5 12.6319 11.5431 0.0995776
47.1 9.91 42.5 14.1025 12.7224 0.0995776
47.1 9.91 44.5 15.654 13.9491 0.0995776
47.1 9.91 46.5 17.2864 15.2181 0.0995776
47.1 9.91 48.5 18.9996 16.5221 0.0995776
*******TSD2********
47.1 9.91 13.5 0.721611 1.3394 0.0995776
47.1 9.91 15.5 1.06953 1.7467 0.0995776
47.1 9.91 17.5 1.49812 2.2184 0.0995776
47.1 9.91 19.5 2.00741 2.7527 0.0995776
47.1 9.91 21.5 2.59744 3.3484 0.0995776
47.1 9.91 23.5 3.26823 4.003 0.0995776
47.1 9.91 25.5 4.01979 4.7143 0.0995776
47.1 9.91 27.5 4.85215 5.4805 0.0995776
47.1 9.91 29.5 5.76532 6.3004 0.0995776
47.1 9.91 31.5 6.7593 7.1733 0.0995776
47.1 9.91 33.5 7.83412 8.0998 0.0995776
47.1 9.91 35.5 8.98977 9.08 0.0995776
47.1 9.91 37.5 10.2263 10.1147 0.0995776
47.1 9.91 39.5 11.5436 11.2036 0.0995776
47.1 9.91 41.5 12.9419 12.3466 0.0995776
47.1 9.91 43.5 14.4209 13.5441 0.0995776
47.1 9.91 45.5 15.9809 14.7911 0.0995776
*******TSD3********
47.1 9.91 16.5 1.26796 2.1237 0.0995776
47.1 9.91 18.5 1.70544 2.6293 0.0995776
47.1 9.91 20.5 2.22352 3.1973 0.0995776
47.1 9.91 22.5 2.82227 3.8243 0.0995776
47.1 9.91 24.5 3.50171 4.5094 0.0995776
47.1 9.91 26.5 4.26188 5.2506 0.0995776
47.1 9.91 28.5 5.1028 6.0465 0.0995776
47.1 9.91 30.5 6.02449 6.8963 0.0995776
47.1 9.91 32.5 7.02698 7.7988 0.0995776
47.1 9.91 34.5 8.11028 8.7546 0.0995776
47.1 9.91 36.5 9.2744 9.7638 0.0995776
47.1 9.91 38.5 10.5194 10.8268 0.0995776
47.1 9.91 40.5 11.8452 11.9392 0.0995776
47.1 9.91 42.5 13.2518 13.0861 0.0995776
*******TSD4********
47.1 9.91 23.5 3.5931 4.58 0.0995776
47.1 9.91 25.5 4.3642 5.2251 0.0995776
47.1 9.91 27.5 5.21599 5.9273 0.0995776
47.1 9.91 29.5 6.14851 6.6819 0.0995776
47.1 9.91 31.5 7.16178 7.4919 0.0995776
47.1 9.91 33.5 8.25583 8.3573 0.0995776
47.1 9.91 35.5 9.43067 9.2778 0.0995776
47.1 9.91 37.5 10.6863 10.2535 0.0995776
47.1 9.91 39.5 12.0228 11.2851 0.0995776
47.1 9.91 41.5 13.4401 12.3701 0.0995776
******************************
              e=              -1.7535
*******TSD1********
47 9.91 8.5 0.0968583 0.1966 0.100842
47 9.91 10.5 0.274621 0.4597 0.100842
47 9.91 12.5 0.53331 0.7746 0.100842
47 9.91 14.5 0.872944 1.1609 0.100842
47 9.91 16.5 1.29354 1.6112 0.100842
47 9.91 18.5 1.7951 2.1265 0.100842
47 9.91 20.5 2.37765 2.7051 0.100842
47 9.91 22.5 3.0412 3.3441 0.100842
47 9.91 24.5 3.78574 4.0411 0.100842
47 9.91 26.5 4.61128 4.7937 0.100842
47 9.91 28.5 5.51784 5.5992 0.100842
47 9.91 30.5 6.50542 6.457 0.100842
47 9.91 32.5 7.57402 7.3667 0.100842
47 9.91 34.5 8.72365 8.3293 0.100842
47 9.91 36.5 9.9543 9.3458 0.100842
47 9.91 38.5 11.266 10.4169 0.100842
47 9.91 40.5 12.6587 11.5431 0.100842
47 9.91 42.5 14.1325 12.7224 0.100842
47 9.91 44.5 15.6873 13.9491 0.100842
47 9.91 46.5 17.3231 15.2181 0.100842
47 9.91 48.5 19.04 16.5221 0.100842
*******TSD2********
47 9.91 13.5 0.723116 1.3394 0.100842
47 9.91 15.5 1.07177 1.7467 0.100842
47 9.91 17.5 1.50126 2.2184 0.100842
47 9.91 19.5 2.01164 2.7527 0.100842
47 9.91 21.5 2.60292 3.3484 0.100842
47 9.91 23.5 3.27513 4.003 0.100842
47 9.91 25.5 4.02828 4.7143 0.100842
47 9.91 27.5 4.86241 5.4805 0.100842
47 9.91 29.5 5.77751 6.3004 0.100842
47 9.91 31.5 6.77361 7.1733 0.100842
47 9.91 33.5 7.8507 8.0998 0.100842
47 9.91 35.5 9.00881 9.08 0.100842
47 9.91 37.5 10.2479 10.1147 0.100842
47 9.91 39.5 11.5681 11.2036 0.100842
47 9.91 41.5 12.9693 12.3466 0.100842
47 9.91 43.5 14.4515 13.5441 0.100842
47 9.91 45.5 16.0148 14.7911 0.100842
*******TSD3********
47 9.91 16.5 1.27059 2.1237 0.100842
47 9.91 18.5 1.70899 2.6293 0.100842
47 9.91 20.5 2.22817 3.1973 0.100842
47 9.91 22.5 2.82818 3.8243 0.100842
47 9.91 24.5 3.50906 4.5094 0.100842
47 9.91 26.5 4.27083 5.2506 0.100842
47 9.91 28.5 5.11353 6.0465 0.100842
47 9.91 30.5 6.03718 6.8963 0.100842
47 9.91 32.5 7.04179 7.7988 0.100842
47 9.91 34.5 8.12739 8.7546 0.100842
47 9.91 36.5 9.29398 9.7638 0.100842
47 9.91 38.5 10.5416 10.8268 0.100842
47 9.91 40.5 11.8702 11.9392 0.100842
47 9.91 42.5 13.2799 13.0861 0.100842
*******TSD4********
47 9.91 23.5 3.51697 4.58 0.100842
47 9.91 25.5 4.2897 5.2251 0.100842
47 9.91 27.5 5.1433 5.9273 0.100842
47 9.91 29.5 6.0778 6.6819 0.100842
47 9.91 31.5 7.09322 7.4919 0.100842
47 9.91 33.5 8.18958 8.3573 0.100842
47 9.91 35.5 9.36692 9.2778 0.100842
47 9.91 37.5 10.6252 10.2535 0.100842
47 9.91 39.5 11.9645 11.2851 0.100842
47 9.91 41.5 13.3849 12.3701 0.100842
******************************
              e=              -1.837
*******TSD1********
46.9 9.91 8.5 0.0970641 0.1966 0.102366
46.9 9.91 10.5 0.275205 0.4597 0.102366
46.9 9.91 12.5 0.534444 0.7746 0.102366
46.9 9.91 14.5 0.874801 1.1609 0.102366
46.9 9.91 16.5 1.29629 1.6112 0.102366
46.9 9.91 18.5 1.79893 2.1265 0.102366
46.9 9.91 20.5 2.38272 2.7051 0.102366
46.9 9.91 22.5 3.04767 3.3441 0.102366
46.9 9.91 24.5 3.7938 4.0411 0.102366
46.9 9.91 26.5 4.6211 4.7937 0.102366
46.9 9.91 28.5 5.5296 5.5992 0.102366
46.9 9.91 30.5 6.51928 6.457 0.102366
46.9 9.91 32.5 7.59015 7.3667 0.102366
46.9 9.91 34.5 8.74223 8.3293 0.102366
46.9 9.91 36.5 9.9755 9.3458 0.102366
46.9 9.91 38.5 11.29 10.4169 0.102366
46.9 9.91 40.5 12.6857 11.5431 0.102366
46.9 9.91 42.5 14.1626 12.7224 0.102366
46.9 9.91 44.5 15.7207 13.9491 0.102366
46.9 9.91 46.5 17.36 15.2181 0.102366
46.9 9.91 48.5 19.0806 16.5221 0.102366
*******TSD2********
46.9 9.91 13.5 0.724627 1.3394 0.102366
46.9 9.91 15.5 1.07402 1.7467 0.102366
46.9 9.91 17.5 1.50442 2.2184 0.102366
46.9 9.91 19.5 2.01588 2.7527 0.102366
46.9 9.91 21.5 2.60841 3.3484 0.102366
46.9 9.91 23.5 3.28205 4.003 0.102366
46.9 9.91 25.5 4.03681 4.7143 0.102366
46.9 9.91 27.5 4.87271 5.4805 0.102366
46.9 9.91 29.5 5.78976 6.3004 0.102366
46.9 9.91 31.5 6.78797 7.1733 0.102366
46.9 9.91 33.5 7.86736 8.0998 0.102366
46.9 9.91 35.5 9.02793 9.08 0.102366
46.9 9.91 37.5 10.2697 10.1147 0.102366
46.9 9.91 39.5 11.5927 11.2036 0.102366
46.9 9.91 41.5 12.9968 12.3466 0.102366
46.9 9.91 43.5 14.4822 13.5441 0.102366
46.9 9.91 45.5 16.0488 14.7911 0.102366
*******TSD3********
46.9 9.91 16.5 1.27323 2.1237 0.102366
46.9 9.91 18.5 1.71255 2.6293 0.102366
46.9 9.91 20.5 2.23283 3.1973 0.102366
46.9 9.91 22.5 2.83411 3.8243 0.102366
46.9 9.91 24.5 3.51643 4.5094 0.102366
46.9 9.91 26.5 4.27982 5.2506 0.102366
46.9 9.91 28.5 5.12431 6.0465 0.102366
46.9 9.91 30.5 6.04992 6.8963 0.102366
46.9 9.91 32.5 7.05666 7.7988 0.102366
46.9 9.91 34.5 8.14457 8.7546 0.102366
46.9 9.91 36.5 9.31364 9.7638 0.102366
46.9 9.91 38.5 10.5639 10.8268 0.102366
46.9 9.91 40.5 11.8953 11.9392 0.102366
46.9 9.91 42.5 13.308 13.0861 0.102366
*******TSD4********
46.9 9.91 23.5 3.44087 4.58 0.102366
46.9 9.91 25.5 4.21525 5.2251 0.102366
46.9 9.91 27.5 5.07066 5.9273 0.102366
46.9 9.91 29.5 6.00714 6.6819 0.102366
46.9 9.91 31.5 7.02471 7.4919 0.102366
46.9 9.91 33.5 8.12341 8.3573 0.102366
46.9 9.91 35.5 9.30324 9.2778 0.102366
46.9 9.91 37.5 10.5642 10.2535 0.102366
46.9 9.91 39.5 11.9064 11.2851 0.102366
46.9 9.91 41.5 13.3297 12.3701 0.102366
******************************
              e=              -1.9205
*******TSD1********
46.8 9.91 8.5 0.0972707 0.1966 0.10415
46.8 9.91 10.5 0.275791 0.4597 0.10415
46.8 9.91 12.5 0.535584 0.7746 0.10415
46.8 9.91 14.5 0.876667 1.1609 0.10415
46.8 9.91 16.5 1.29906 1.6112 0.10415
46.8 9.91 18.5 1.80276 2.1265 0.10415
46.8 9.91 20.5 2.3878 2.7051 0.10415
46.8 9.91 22.5 3.05417 3.3441 0.10415
46.8 9.91 24.5 3.80189 4.0411 0.10415
46.8 9.91 26.5 4.63097 4.7937 0.10415
46.8 9.91 28.5 5.5414 5.5992 0.10415
46.8 9.91 30.5 6.53319 6.457 0.10415
46.8 9.91 32.5 7.60635 7.3667 0.10415
46.8 9.91 34.5 8.76089 8.3293 0.10415
46.8 9.91 36.5 9.9968 9.3458 0.10415
46.8 9.91 38.5 11.3141 10.4169 0.10415
46.8 9.91 40.5 12.7128 11.5431 0.10415
46.8 9.91 42.5 14.1928 12.7224 0.10415
46.8 9.91 44.5 15.7543 13.9491 0.10415
46.8 9.91 46.5 17.3971 15.2181 0.10415
46.8 9.91 48.5 19.1213 16.5221 0.10415
*******TSD2********
46.8 9.91 13.5 0.726144 1.3394 0.10415
46.8 9.91 15.5 1.07627 1.7467 0.10415
46.8 9.91 17.5 1.50759 2.2184 0.10415
46.8 9.91 19.5 2.02014 2.7527 0.10415
46.8 9.91 21.5 2.61393 3.3484 0.10415
46.8 9.91 23.5 3.28901 4.003 0.10415
46.8 9.91 25.5 4.04537 4.7143 0.10415
46.8 9.91 27.5 4.88305 5.4805 0.10415
46.8 9.91 29.5 5.80205 6.3004 0.10415
46.8 9.91 31.5 6.8024 7.1733 0.10415
46.8 9.91 33.5 7.88409 8.0998 0.10415
46.8 9.91 35.5 9.04713 9.08 0.10415
46.8 9.91 37.5 10.2915 10.1147 0.10415
46.8 9.91 39.5 11.6173 11.2036 0.10415
46.8 9.91 41.5 13.0245 12.3466 0.10415
46.8 9.91 43.5 14.5131 13.5441 0.10415
46.8 9.91 45.5 16.083 14.7911 0.10415
*******TSD3********
